Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
351,Nate Robinson,30,LAC,PG,9,0,126,4.9,14.6,.333,2.0,5.7,.350,2.9,8.9,.323,.402,1.4,1.7,.833,0.9,2.3,3.1,5.7,1.7,0.0,2.3,2.3,13.1,,robinna01
352,Larry Sanders,26,MIL,C,27,26,586,5.3,10.6,.500,0.0,0.0,,5.3,10.6,.500,.500,1.5,2.9,.500,4.1,6.1,10.2,1.4,1.6,2.4,1.7,6.4,12.0,,sandela01
353,Jabari Brown,22,LAL,SG,19,5,568,4.4,10.8,.412,1.5,3.9,.371,3.0,6.8,.435,.479,4.1,5.4,.753,0.2,2.1,2.3,2.5,0.8,0.1,2.0,2.1,14.4,,brownja01
354,Sergey Karasev,21,BRK,SG,33,16,555,3.5,8.7,.403,1.0,3.5,.296,2.5,5.2,.475,.463,1.9,2.5,.763,1.4,2.9,4.3,3.0,1.5,0.1,1.6,2.9,9.9,,karasse01
355,Lorenzo Brown,24,MIN,PG,29,7,549,3.4,8.0,.426,0.4,1.8,.214,3.0,6.2,.489,.451,0.8,1.2,.632,0.9,3.7,4.6,5.9,1.8,0.4,2.0,3.2,8.0,,brownlo01
356,Samuel Dalembert,33,NYK,C,32,21,544,3.8,8.6,.438,0.0,0.0,,3.8,8.6,.438,.438,0.9,1.3,.700,3.5,7.6,11.1,1.9,0.9,2.7,2.6,4.6,8.5,,dalemsa01
357,Furkan Aldemir,23,PHI,PF,41,9,540,2.7,5.2,.513,0.0,0.3,.000,2.7,4.9,.548,.513,0.9,1.8,.481,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2,,aldemfu01
358,Archie Goodwin,20,PHO,SG,41,2,535,5.3,13.5,.393,0.8,2.8,.293,4.5,10.8,.419,.423,4.1,5.6,.735,1.8,3.2,5.0,3.0,1.2,0.6,3.2,3.7,15.5,,goodwar01
359,Cory Jefferson,24,BRK,PF,50,1,531,5.1,11.3,.449,0.1,1.0,.133,4.9,10.3,.480,.455,2.1,3.7,.574,3.2,6.6,9.8,1.1,0.7,1.4,1.4,4.1,12.4,,jeffeco01
360,Jordan Farmar,28,LAC,PG,36,0,529,4.2,10.8,.386,2.4,6.6,.361,1.8,4.2,.426,.497,0.7,0.7,.909,0.5,2.3,2.9,4.6,1.4,0.3,2.2,3.5,11.4,,farmajo01
361,Chris Johnson,24,3TM,SF,29,2,526,4.2,10.5,.403,1.9,6.5,.295,2.3,4.0,.576,.494,1.0,1.1,.875,0.5,3.2,3.8,1.0,1.8,0.5,1.0,3.0,11.4,,johnsch04
361,Chris Johnson,24,PHI,SF,9,2,187,3.7,11.6,.317,1.9,7.5,.256,1.7,4.0,.429,.400,1.2,1.5,.750,0.6,4.4,5.0,0.6,1.7,1.0,1.7,3.7,10.4,,johnsch04
361,Chris Johnson,24,UTA,SF,12,0,211,5.3,10.9,.484,2.2,6.5,.342,3.1,4.4,.692,.586,1.0,1.0,1.000,0.5,2.6,3.1,1.2,2.0,0.0,1.0,3.1,13.8,,johnsch04
361,Chris Johnson,24,MIL,SF,8,0,128,3.4,8.4,.400,1.4,5.1,.278,2.0,3.4,.583,.483,0.6,0.6,1.000,0.6,2.5,3.1,1.4,1.4,0.6,0.0,2.0,8.7,,johnsch04
362,Jimmer Fredette,25,NOP,PG,50,0,509,4.5,11.7,.380,0.6,3.4,.188,3.8,8.3,.458,.407,3.0,3.2,.956,0.6,2.3,2.8,4.1,1.1,0.1,2.3,3.0,12.6,,fredeji01
363,Michael Beasley,26,MIA,PF,24,1,505,6.6,15.1,.434,0.6,2.4,.235,6.0,12.7,.472,.453,1.4,1.9,.769,0.9,5.5,6.3,2.3,1.1,0.9,2.6,4.7,15.1,,beaslmi01
364,E'Twaun Moore,25,CHI,SG,56,0,504,4.4,9.9,.446,0.9,2.7,.342,3.5,7.2,.485,.493,0.9,1.4,.600,0.9,2.4,3.3,2.4,1.4,0.4,1.0,3.2,10.6,,mooreet01
365,Festus Ezeli,25,GSW,C,46,7,504,5.4,9.9,.547,0.0,0.0,,5.4,9.9,.547,.547,3.5,5.6,.628,4.3,6.8,11.1,0.6,0.5,3.0,2.3,5.5,14.4,,ezelife01
366,Mike Muscala,23,ATL,PF,40,8,502,6.0,10.8,.550,0.6,1.6,.409,5.3,9.3,.574,.579,1.6,1.8,.880,3.7,4.8,8.5,1.8,1.1,1.4,1.5,3.7,14.1,,muscami01
367,Joe Harris,23,CLE,SG,51,1,493,3.5,8.8,.400,2.3,6.1,.369,1.2,2.6,.472,.529,0.7,1.1,.600,0.5,2.5,3.0,1.9,0.5,0.1,2.0,4.5,9.9,,harrijo01
368,Andrew Nicholson,25,ORL,PF,40,3,492,6.1,13.9,.437,1.0,3.0,.317,5.1,10.9,.470,.471,1.1,1.8,.600,1.2,4.8,6.0,1.6,0.4,0.9,1.8,3.7,14.2,,nichoan01
369,Elton Brand,35,ATL,C,36,4,486,3.1,7.0,.442,0.0,0.1,.000,3.1,7.0,.447,.442,0.9,1.7,.522,2.1,5.3,7.4,1.6,1.3,1.9,1.3,4.0,7.1,,brandel01
370,Mitch McGary,22,OKC,PF,32,2,485,6.5,12.2,.533,0.0,0.1,.000,6.5,12.1,.540,.533,1.9,3.0,.625,3.9,8.3,12.2,1.0,1.2,1.2,2.3,5.3,14.9,,mcgarmi01
371,Spencer Dinwiddie,21,DET,PG,34,1,455,4.0,13.4,.302,0.9,5.1,.185,3.1,8.2,.375,.337,2.5,2.7,.912,0.3,3.5,3.8,8.2,1.5,0.5,2.6,4.2,11.5,,dinwisp01
372,Ryan Hollins,30,SAC,C,46,9,441,4.3,6.7,.646,0.0,0.0,,4.3,6.7,.646,.646,2.5,4.4,.574,2.9,5.5,8.4,1.1,0.5,1.6,2.0,5.3,11.2,,holliry01
373,Jeff Taylor,25,CHO,SF,29,13,430,3.8,9.5,.395,0.9,3.0,.306,2.8,6.5,.436,.443,2.2,3.4,.634,1.2,3.3,4.4,1.8,1.0,0.1,1.6,3.0,10.6,,tayloje03
374,Brandon Davies,23,2TM,PF,27,6,423,4.7,11.7,.401,0.7,2.9,.235,4.0,8.8,.456,.431,2.0,3.1,.649,3.2,3.8,7.1,2.6,1.5,0.6,2.5,5.0,12.1,,daviebr01
374,Brandon Davies,23,PHI,PF,20,6,379,4.7,11.3,.412,0.7,2.8,.233,4.0,8.5,.472,.441,2.0,3.1,.636,3.3,3.6,6.9,2.7,1.6,0.4,2.4,5.1,12.0,,daviebr01
374,Brandon Davies,23,BRK,PF,7,0,44,4.9,14.7,.333,0.8,3.3,.250,4.1,11.5,.357,.361,2.5,3.3,.750,2.5,5.7,8.2,1.6,0.8,2.5,3.3,4.1,13.1,,daviebr01
375,Kendall Marshall,23,MIL,PG,28,3,417,4.0,8.7,.455,1.6,4.0,.391,2.4,4.7,.509,.545,0.7,0.8,.889,0.2,2.2,2.4,7.4,1.8,0.0,3.0,2.2,10.2,,marshke01
376,Jason Richardson,34,PHI,SG,19,15,416,5.4,15.4,.348,2.7,8.3,.323,2.7,7.1,.378,.435,1.5,1.9,.773,1.1,4.6,5.7,3.3,1.1,0.3,1.4,2.4,14.9,,richaja01
377,Tyler Ennis,20,2TM,PG,33,1,411,4.6,12.6,.361,1.1,3.8,.279,3.5,8.8,.396,.403,0.4,0.6,.714,0.6,2.5,3.1,6.4,1.6,0.4,3.7,3.2,10.6,,ennisty01
