Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
398,John Lucas III,32,DET,PG,21,0,272,5.6,13.8,.404,1.2,3.8,.310,4.4,9.9,.440,.447,0.7,0.7,1.000,0.5,1.6,2.1,7.9,1.1,0.0,2.1,2.4,13.0,,lucasjo02
399,Brandon Rush,29,GSW,SG,33,0,271,1.5,7.2,.204,0.4,3.6,.111,1.1,3.6,.296,.231,0.7,1.5,.455,0.5,4.9,5.4,1.6,0.7,1.6,1.5,3.6,4.0,,rushbr01
400,John Salmons,35,NOP,SF,21,0,270,2.1,6.4,.333,1.1,3.5,.308,1.1,2.9,.364,.417,0.3,0.5,.500,0.5,2.3,2.8,1.7,1.2,0.5,0.7,3.3,5.6,,salmojo01
401,Joffrey Lauvergne,23,DEN,C,24,1,268,4.8,12.0,.404,0.4,2.1,.188,4.4,9.8,.452,.421,2.4,3.8,.643,3.6,6.7,10.3,1.7,1.1,1.3,3.0,5.8,12.5,,lauvejo01
402,Jeremy Evans,27,UTA,SF,38,0,266,4.3,7.8,.552,0.3,0.7,.400,4.1,7.2,.566,.569,3.2,3.9,.828,3.5,6.1,9.6,1.8,1.5,1.6,0.7,3.9,12.2,,evansje01
403,Nick Johnson,22,HOU,SG,28,0,262,3.6,10.3,.347,0.7,2.9,.238,2.9,7.4,.389,.380,2.3,3.4,.680,1.8,3.6,5.4,1.5,1.0,0.4,2.6,4.7,10.2,,johnsni01
404,Glenn Robinson III,21,2TM,SG,35,1,261,3.6,9.2,.388,0.7,2.6,.263,2.9,6.6,.438,.425,2.2,3.3,.667,2.1,3.3,5.4,1.5,0.8,0.1,1.5,2.1,10.1,,robingl02
404,Glenn Robinson III,21,MIN,SG,25,0,108,2.7,8.0,.333,0.3,2.0,.167,2.3,6.0,.389,.354,4.0,5.3,.750,1.3,3.3,4.7,1.0,1.0,0.0,1.0,1.7,9.7,,robingl02
404,Glenn Robinson III,21,PHI,SF,10,1,153,4.2,10.1,.419,0.9,3.1,.308,3.3,7.1,.467,.465,0.9,1.9,.500,2.6,3.3,5.9,1.9,0.7,0.2,1.9,2.4,10.4,,robingl02
405,Jeff Withey,24,NOP,C,37,0,259,4.4,8.9,.500,0.0,0.0,,4.4,8.9,.500,.500,4.7,6.9,.680,3.2,5.7,8.9,1.5,0.6,2.5,1.7,3.6,13.6,,witheje01
406,Noah Vonleh,19,CHO,PF,25,0,259,4.2,10.6,.395,0.7,1.8,.385,3.5,8.8,.397,.428,2.5,3.6,.692,3.9,8.1,12.0,0.6,0.6,1.3,1.5,2.8,11.5,,vonleno01
407,JaVale McGee,27,2TM,C,23,0,256,5.9,11.1,.532,0.0,0.0,,5.9,11.1,.532,.532,3.1,4.6,.667,2.5,6.0,8.6,0.4,0.3,2.8,2.5,4.2,14.9,,mcgeeja01
407,JaVale McGee,27,DEN,C,17,0,195,6.3,11.3,.557,0.0,0.0,,6.3,11.3,.557,.557,3.7,5.4,.690,2.6,6.3,8.9,0.2,0.4,3.5,2.4,5.2,16.2,,mcgeeja01
407,JaVale McGee,27,PHI,C,6,0,61,4.7,10.6,.444,0.0,0.0,,4.7,10.6,.444,.444,1.2,2.4,.500,2.4,5.3,7.7,1.2,0.0,0.6,3.0,1.2,10.6,,mcgeeja01
408,Chuck Hayes,31,TOR,C,29,0,255,3.1,6.5,.478,0.0,0.0,,3.1,6.5,.478,.478,0.8,1.6,.545,2.5,4.7,7.2,2.8,1.4,0.6,1.1,5.2,7.1,,hayesch01
409,Jordan Adams,20,MEM,SG,30,0,248,5.1,12.5,.407,1.5,3.6,.400,3.6,8.9,.410,.465,2.0,3.3,.609,1.3,2.8,4.1,2.3,2.3,1.0,2.0,3.5,13.6,,adamsjo01
410,Nate Wolters,23,2TM,PG,21,0,247,2.9,8.3,.351,0.0,1.0,.000,2.9,7.3,.400,.351,0.3,0.9,.333,1.2,3.8,5.0,3.1,1.2,0.3,1.9,2.6,6.1,,woltena01
410,Nate Wolters,23,MIL,PG,11,0,142,3.0,7.9,.387,0.0,1.3,.000,3.0,6.6,.462,.387,0.3,1.0,.250,0.5,3.5,4.1,2.5,1.3,0.0,0.8,2.8,6.3,,woltena01
410,Nate Wolters,23,NOP,PG,10,0,105,2.7,8.9,.308,0.0,0.7,.000,2.7,8.2,.333,.308,0.3,0.7,.500,2.1,4.1,6.2,3.8,1.0,0.7,3.4,2.4,5.8,,woltena01
411,Ricky Ledo,22,2TM,SG,17,0,244,4.7,14.2,.333,1.5,4.0,.370,3.2,10.2,.319,.385,2.4,3.2,.727,2.4,3.0,5.3,2.8,0.9,0.1,3.8,3.1,13.3,,ledori01
411,Ricky Ledo,22,DAL,SG,5,0,11,0.0,19.6,.000,0.0,9.8,.000,0.0,9.8,.000,.000,3.3,6.5,.500,3.3,3.3,6.5,3.3,0.0,0.0,6.5,3.3,3.3,,ledori01
411,Ricky Ledo,22,NYK,SG,12,0,233,4.9,13.9,.356,1.5,3.7,.417,3.4,10.2,.333,.411,2.3,3.1,.750,2.3,2.9,5.3,2.8,0.9,0.2,3.7,3.1,13.8,,ledori01
412,Tim Frazier,24,2TM,PG,11,3,239,3.2,9.2,.344,0.8,2.6,.294,2.4,6.6,.364,.385,1.5,3.2,.476,0.9,3.3,4.2,9.0,1.2,0.0,3.8,3.9,8.6,,fraziti01
412,Tim Frazier,24,PHI,PG,6,3,171,2.7,9.1,.302,0.6,2.3,.273,2.1,6.7,.313,.337,1.1,3.2,.333,0.8,3.2,4.0,9.1,1.3,0.0,3.8,3.4,7.2,,fraziti01
412,Tim Frazier,24,POR,PG,5,0,68,4.2,9.5,.444,1.1,3.2,.333,3.2,6.4,.500,.500,2.6,3.2,.833,1.1,3.7,4.8,9.0,1.1,0.0,3.7,5.3,12.2,,fraziti01
413,Dwight Powell,23,2TM,PF,29,0,236,4.7,10.2,.463,0.5,1.7,.273,4.3,8.5,.500,.485,3.8,5.0,.758,2.7,4.9,7.6,1.4,1.4,0.9,1.7,6.1,13.7,,poweldw01
413,Dwight Powell,23,BOS,PF,5,0,9,16.0,20.0,.800,0.0,0.0,,16.0,20.0,.800,.800,4.0,8.0,.500,0.0,4.0,4.0,0.0,8.0,0.0,8.0,4.0,36.0,,poweldw01
413,Dwight Powell,23,DAL,PF,24,0,227,4.3,9.8,.435,0.5,1.7,.273,3.8,8.1,.471,.460,3.8,4.9,.774,2.9,4.9,7.8,1.4,1.1,1.0,1.4,6.2,12.8,,poweldw01
414,Larry Drew II,24,PHI,PG,12,1,219,3.3,9.5,.345,0.7,4.3,.154,2.6,5.3,.500,.379,0.3,0.5,.667,0.2,2.3,2.5,7.4,1.0,0.0,4.1,2.1,7.6,,drewla02
415,Landry Fields,26,TOR,SF,26,9,216,3.3,6.8,.488,0.2,0.3,.500,3.2,6.5,.487,.500,0.8,1.0,.833,1.7,2.7,4.3,2.5,1.8,0.0,1.3,1.5,7.7,,fieldla01
416,Jeff Adrien,28,MIN,PF,17,0,215,3.2,7.4,.432,0.0,0.0,,3.2,7.4,.432,.432,3.7,6.4,.579,3.9,9.0,12.9,2.5,0.7,1.5,1.5,5.0,10.0,,adrieje01
417,Gigi Datome,27,2TM,SF,21,1,209,7.4,15.3,.483,3.1,6.9,.450,4.3,8.4,.510,.584,0.2,0.2,1.000,0.5,4.5,5.0,1.6,0.3,1.2,1.6,2.6,18.1,,datomlu01
417,Gigi Datome,27,DET,SF,3,0,17,10.6,25.4,.417,2.1,8.5,.250,8.5,16.9,.500,.458,0.0,0.0,,2.1,6.4,8.5,4.2,2.1,0.0,4.2,2.1,23.3,,datomlu01
417,Gigi Datome,27,BOS,SF,18,1,192,7.1,14.4,.494,3.2,6.8,.472,3.9,7.7,.512,.604,0.2,0.2,1.000,0.4,4.3,4.7,1.3,0.2,1.3,1.3,2.6,17.6,,datomlu01
418,Devyn Marble,22,ORL,SG,16,7,208,2.4,7.6,.318,0.7,3.8,.182,1.7,3.8,.455,.364,0.9,2.8,.313,0.9,4.5,5.4,2.9,1.6,0.3,1.6,2.4,6.4,,marblde01
419,Francisco García,33,HOU,SF,14,0,200,3.1,11.3,.270,1.8,8.1,.222,1.3,3.2,.389,.349,0.2,0.7,.250,0.5,2.5,3.1,2.7,1.6,0.9,1.8,3.6,8.1,,garcifr01
420,Cartier Martin,30,DET,SF,23,0,198,2.7,9.6,.283,1.1,6.0,.182,1.6,3.6,.450,.340,0.0,0.0,,0.0,3.6,3.6,2.0,0.5,0.2,0.9,3.6,6.5,,martica01
421,Steve Novak,31,2TM,PF,35,0,197,4.0,10.2,.393,3.5,8.8,.396,0.5,1.5,.375,.563,0.0,0.4,.000,0.4,3.7,4.0,2.0,0.0,0.4,0.9,4.2,11.5,,novakst01
421,Steve Novak,31,UTA,SF,22,0,109,5.3,11.6,.457,5.3,10.9,.485,0.0,0.7,.000,.686,0.0,0.7,.000,0.3,5.0,5.3,2.0,0.0,0.3,1.0,4.3,15.9,,novakst01
421,Steve Novak,31,OKC,PF,13,0,88,2.5,8.6,.286,1.2,6.1,.200,1.2,2.5,.500,.357,0.0,0.0,,0.4,2.0,2.5,2.0,0.0,0.4,0.8,4.1,6.1,,novakst01
422,Malcolm Thomas,26,PHI,PF,17,0,194,3.3,7.4,.450,0.0,1.3,.000,3.3,6.1,.545,.450,1.7,2.4,.692,3.0,7.4,10.4,1.3,0.6,0.2,2.4,3.2,8.4,,thomama01
423,Ian Clark,23,2TM,SG,30,0,192,3.6,10.3,.345,1.9,5.6,.333,1.7,4.7,.360,.436,1.7,1.7,1.000,0.7,2.3,3.0,2.3,1.7,0.6,1.7,3.7,10.7,,clarkia01
423,Ian Clark,23,UTA,SG,23,0,161,3.4,9.8,.341,2.0,5.6,.360,1.3,4.2,.316,.443,1.1,1.1,1.000,0.9,2.0,2.9,2.2,1.3,0.4,1.6,2.7,9.8,,clarkia01
423,Ian Clark,23,DEN,SG,7,0,31,4.6,12.8,.364,1.2,5.8,.200,3.5,7.0,.500,.409,4.6,4.6,1.000,0.0,3.5,3.5,2.3,3.5,1.2,2.3,9.3,15.1,,clarkia01
424,DeJuan Blair,25,WAS,PF,29,0,180,5.2,11.4,.456,0.0,0.0,,5.2,11.4,.456,.456,0.8,1.2,.667,3.2,8.0,11.2,0.6,1.4,0.2,2.6,8.2,11.2,,blairde01
425,Toney Douglas,28,NOP,SG,12,0,177,3.9,10.4,.373,1.0,3.7,.278,2.8,6.7,.424,.422,1.6,2.6,.615,0.4,4.1,4.5,4.9,2.2,0.8,2.0,4.1,10.4,,douglto01
426,Jorge Gutiérrez,26,2TM,PG,20,1,175,4.5,8.4,.537,0.0,0.6,.000,4.5,7.8,.579,.537,1.9,2.7,.692,1.0,4.1,5.1,4.5,1.2,0.0,2.5,5.1,10.9,,gutiejo01
426,Jorge Gutiérrez,26,BRK,PG,10,0,44,5.7,11.5,.500,0.0,0.8,.000,5.7,10.6,.538,.500,1.6,2.5,.667,0.0,5.7,5.7,5.7,0.8,0.0,2.5,7.4,13.1,,gutiejo01
426,Jorge Gutiérrez,26,MIL,PG,10,1,131,4.1,7.4,.556,0.0,0.5,.000,4.1,6.9,.600,.556,1.9,2.7,.700,1.4,3.6,4.9,4.1,1.4,0.0,2.5,4.4,10.2,,gutiejo01
427,JaMychal Green,24,2TM,PF,24,1,164,5.9,10.3,.574,0.0,1.3,.000,5.9,9.0,.659,.574,1.8,2.2,.800,4.2,5.7,9.9,0.9,1.1,1.1,3.1,5.5,13.6,,greenja01
427,JaMychal Green,24,SAS,PF,4,0,25,5.8,10.1,.571,0.0,2.9,.000,5.8,7.2,.800,.571,0.0,0.0,,4.3,4.3,8.6,0.0,0.0,2.9,2.9,8.6,11.5,,greenja01
427,JaMychal Green,24,MEM,PF,20,1,139,6.0,10.4,.575,0.0,1.0,.000,6.0,9.3,.639,.575,2.1,2.6,.800,4.1,6.0,10.1,1.0,1.3,0.8,3.1,4.9,14.0,,greenja01
428,Bryce Cotton,22,UTA,PG,15,0,159,6.6,15.6,.420,1.6,4.5,.350,5.0,11.1,.449,.471,3.4,4.1,.833,0.7,3.4,4.1,3.4,0.9,0.0,2.7,1.4,18.1,,cottobr01
429,Bernard James,29,DAL,C,16,2,158,2.7,6.2,.444,0.0,0.0,,2.7,6.2,.444,.444,4.6,5.2,.870,4.1,4.8,8.9,0.9,0.5,3.4,1.4,3.9,10.0,,jamesbe01
430,Earl Barron,33,PHO,C,16,1,143,3.0,9.8,.308,0.5,1.0,.500,2.5,8.8,.286,.333,1.5,3.0,.500,3.5,3.5,7.0,1.3,1.0,0.5,1.3,6.5,8.1,,barroea01
431,James Michael McAdoo,22,GSW,PF,15,0,137,6.3,11.6,.545,0.0,0.0,,6.3,11.6,.545,.545,3.7,6.6,.560,3.9,5.8,9.7,0.5,1.3,2.4,1.6,5.5,16.3,,mcadoja01
432,Ekpe Udoh,27,LAC,PF,33,0,128,3.1,6.8,.458,0.0,0.0,,3.1,6.8,.458,.458,2.0,2.5,.778,2.0,5.3,7.3,2.3,2.3,2.0,2.0,5.6,8.2,,udohek01
433,Nazr Mohammed,37,CHI,C,23,0,128,3.7,8.4,.433,0.0,0.0,,3.7,8.4,.433,.433,0.3,0.8,.333,3.1,7.6,10.7,0.8,1.1,1.4,2.0,4.5,7.6,,mohamna01
434,Jarnell Stokes,21,MEM,PF,19,2,126,6.0,10.6,.568,0.0,0.0,,6.0,10.6,.568,.568,4.3,8.0,.536,4.6,5.1,9.7,1.1,1.4,1.4,2.0,7.1,16.3,,stokeja01
435,Shavlik Randolph,31,2TM,PF,21,0,126,2.6,10.0,.257,0.0,1.4,.000,2.6,8.6,.300,.257,1.7,3.4,.500,4.6,6.3,10.9,1.1,1.4,0.9,0.9,4.6,6.9,,randosh01
435,Shavlik Randolph,31,PHO,PF,16,0,101,2.1,8.9,.240,0.0,1.4,.000,2.1,7.5,.286,.240,1.8,3.6,.500,4.3,5.0,9.3,1.1,1.4,0.7,0.7,4.6,6.1,,randosh01
435,Shavlik Randolph,31,BOS,PF,5,0,25,4.3,14.4,.300,0.0,1.4,.000,4.3,13.0,.333,.300,1.4,2.9,.500,5.8,11.5,17.3,1.4,1.4,1.4,1.4,4.3,10.1,,randosh01
436,Dahntay Jones,34,LAC,SF,33,0,123,1.8,6.1,.286,0.0,1.2,.000,1.8,5.0,.353,.286,2.6,3.2,.818,0.3,2.9,3.2,0.6,0.9,0.0,0.3,6.7,6.1,,jonesda02
437,Dwight Buycks,25,LAL,PG,6,0,123,5.3,11.7,.450,2.0,3.2,.636,3.2,8.5,.379,.538,2.6,2.9,.900,0.6,2.9,3.5,4.1,0.9,0.0,3.5,0.9,15.2,,buyckdw01
438,Jordan Hamilton,24,LAC,SF,14,2,122,4.1,10.3,.400,3.0,6.2,.476,1.2,4.1,.286,.543,0.0,0.0,,0.6,4.1,4.7,2.1,0.6,0.0,1.2,4.1,11.2,,hamiljo02
439,Brendan Haywood,35,CLE,C,22,1,119,4.2,9.1,.467,0.0,0.0,,4.2,9.1,.467,.467,2.1,3.9,.538,1.8,7.0,8.8,0.6,0.6,3.0,3.0,5.1,10.6,,haywobr01
440,Elliot Williams,25,2TM,SG,13,0,119,4.2,11.2,.378,2.4,5.4,.444,1.8,5.7,.316,.486,0.3,1.2,.250,0.0,2.4,2.4,3.6,1.2,0.0,1.2,3.6,11.2,,williel01
440,Elliot Williams,25,UTA,SG,5,0,42,5.1,11.1,.462,4.3,6.0,.714,0.9,5.1,.167,.654,0.9,1.7,.500,0.0,2.6,2.6,3.4,1.7,0.0,3.4,0.9,15.4,,williel01
440,Elliot Williams,25,NOP,SG,8,0,77,3.7,11.2,.333,1.4,5.1,.273,2.3,6.1,.385,.396,0.0,0.9,.000,0.0,2.3,2.3,3.7,0.9,0.0,0.0,5.1,8.9,,williel01
441,Quincy Miller,22,2TM,PF,10,0,119,2.7,11.5,.237,0.9,5.4,.167,1.8,6.1,.300,.276,2.4,3.3,.727,1.2,4.8,6.1,2.4,2.1,1.5,1.5,2.7,8.8,,millequ01
441,Quincy Miller,22,SAC,PF,6,0,61,2.4,10.6,.222,0.6,4.1,.143,1.8,6.5,.273,.250,4.7,6.5,.727,1.2,5.9,7.1,1.8,3.5,1.8,1.8,2.4,10.0,,millequ01
441,Quincy Miller,22,DET,PF,4,0,58,3.1,12.4,.250,1.2,6.8,.182,1.9,5.6,.333,.300,0.0,0.0,,1.2,3.7,5.0,3.1,0.6,1.2,1.2,3.1,7.4,,millequ01
442,Shayne Whittington,23,IND,PF,20,0,108,6.3,14.0,.452,0.3,2.0,.167,6.0,12.0,.500,.464,6.0,7.7,.783,3.3,6.3,9.7,2.0,1.7,0.7,1.7,6.0,19.0,,whittsh01
443,Reggie Williams,28,SAS,SF,20,0,105,5.1,13.4,.385,1.0,6.5,.158,4.1,6.9,.600,.423,1.4,1.4,1.000,1.7,4.1,5.8,3.4,0.3,0.0,0.7,4.1,12.7,,willire02
444,Kenyon Martin,37,MIL,PF,11,0,104,3.1,7.6,.409,0.0,0.0,,3.1,7.6,.409,.409,0.7,0.7,1.000,2.1,4.5,6.6,1.7,1.7,2.1,1.0,4.5,6.9,,martike01
445,Chris Douglas-Roberts,28,LAC,SG,12,0,103,1.7,7.3,.238,0.3,2.4,.143,1.4,4.9,.286,.262,2.8,2.8,1.000,0.3,3.8,4.2,1.4,0.3,0.0,0.0,4.9,6.6,,douglch01
446,C.J. Wilcox,24,LAC,SG,21,0,101,5.7,13.5,.421,2.5,6.8,.368,3.2,6.8,.474,.513,0.7,0.7,1.000,0.4,2.1,2.5,2.9,1.1,0.4,3.6,2.5,14.6,,wilcocj01
447,Earl Clark,27,BRK,PF,10,0,93,4.3,11.6,.367,1.5,5.4,.286,2.7,6.2,.438,.433,0.4,1.5,.250,0.4,8.5,8.9,1.2,1.2,1.5,2.3,4.6,10.5,,clarkea01
448,Paul George,24,IND,SF,6,0,91,7.1,19.4,.367,3.6,8.7,.409,3.6,10.7,.333,.459,3.2,4.4,.727,1.6,7.1,8.7,2.4,2.0,0.4,4.7,4.4,21.0,,georgpa01
449,Clint Capela,20,HOU,C,12,0,90,5.6,11.6,.483,0.0,0.0,,5.6,11.6,.483,.483,1.6,9.2,.174,4.0,10.4,14.4,0.8,0.4,3.6,2.0,5.6,12.8,,capelca01
450,Jared Cunningham,23,LAC,SG,19,0,89,4.9,13.3,.364,1.6,5.3,.308,3.2,8.1,.400,.424,2.8,5.3,.538,0.4,3.2,3.6,4.0,1.2,0.0,2.8,4.9,14.2,,cunnija01
451,Shannon Brown,29,MIA,SG,5,2,89,2.8,7.7,.368,1.2,2.8,.429,1.6,4.9,.333,.447,1.2,1.6,.750,0.0,0.4,0.4,1.2,1.6,0.0,1.6,3.2,8.1,,brownsh01
452,Jack Cooley,23,UTA,C,16,0,87,3.7,9.1,.409,0.0,0.0,,3.7,9.1,.409,.409,3.7,8.7,.429,4.1,6.2,10.3,0.4,2.5,1.2,1.2,9.5,11.2,,cooleja01
453,Xavier Henry,23,LAL,SF,9,0,86,1.3,5.4,.231,0.0,0.0,,1.3,5.4,.231,.231,5.9,10.0,.583,0.8,0.8,1.7,1.3,1.3,0.0,1.3,2.5,8.4,,henryxa01
454,Victor Claver,26,POR,SF,10,0,76,4.3,9.5,.450,2.8,5.2,.545,1.4,4.3,.333,.600,0.0,0.0,,1.4,8.1,9.5,0.5,0.5,0.5,1.9,5.7,11.4,,clavevi01
455,Zoran Dragić,25,2TM,SG,16,1,75,5.3,14.4,.367,1.4,6.7,.214,3.8,7.7,.500,.417,1.4,2.4,.600,2.4,1.4,3.8,2.4,1.0,0.0,2.4,2.9,13.4,,dragizo01
455,Zoran Dragić,25,PHO,SG,6,0,13,5.5,22.2,.250,0.0,13.8,.000,5.5,8.3,.667,.250,5.5,8.3,.667,5.5,2.8,8.3,2.8,0.0,0.0,0.0,2.8,16.6,,dragizo01
455,Zoran Dragić,25,MIA,SG,10,1,62,5.2,12.8,.409,1.7,5.2,.333,3.5,7.5,.462,.477,0.6,1.2,.500,1.7,1.2,2.9,2.3,1.2,0.0,2.9,2.9,12.8,,dragizo01
456,Vander Blue,22,LAL,SG,2,1,74,4.4,14.6,.300,1.0,4.9,.200,3.4,9.7,.350,.333,1.0,2.4,.400,1.0,3.4,4.4,3.9,1.5,0.0,2.9,1.9,10.7,,blueva01
457,Jannero Pargo,35,CHO,PG,9,0,73,7.4,17.3,.429,4.4,10.8,.409,3.0,6.4,.462,.557,1.0,1.0,1.000,0.0,1.5,1.5,3.9,0.0,0.0,1.5,3.9,20.2,,pargoja01
458,Ognjen Kuzmić,24,GSW,C,16,0,72,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,2.0,1.000,3.5,5.0,8.5,3.0,1.0,0.5,2.5,6.5,10.0,,kuzmiog01
459,Sean Kilpatrick,25,MIN,SG,4,0,72,3.5,10.0,.350,2.0,6.5,.308,1.5,3.5,.429,.450,2.0,2.0,1.000,0.5,2.5,3.0,2.0,1.5,0.0,1.0,1.5,11.0,,kilpase01
460,Drew Gordon,24,PHI,PF,9,0,71,4.1,9.6,.421,0.0,1.5,.000,4.1,8.1,.500,.421,0.5,1.0,.500,3.5,5.6,9.1,1.0,0.5,0.0,4.1,3.5,8.6,,gordodr01
461,Will Cherry,23,CLE,PG,8,0,69,2.6,9.9,.263,1.0,4.7,.222,1.6,5.2,.300,.316,1.6,3.1,.500,0.5,2.1,2.6,4.2,3.1,0.5,2.1,5.2,7.8,,cherrwi01
462,Arinze Onuaku,27,MIN,C,6,1,68,6.4,7.4,.857,0.0,0.0,,6.4,7.4,.857,.857,1.6,4.2,.375,3.7,7.4,11.1,2.1,0.5,1.6,1.1,3.2,14.3,,onuakar01
463,Will Bynum,32,WAS,SG,7,0,67,5.4,16.7,.323,0.0,4.8,.000,5.4,11.8,.455,.323,1.1,2.1,.500,1.1,2.1,3.2,9.7,0.5,0.5,4.3,4.8,11.8,,bynumwi01
464,Greg Stiemsma,29,TOR,C,17,0,66,3.3,4.4,.750,0.0,0.0,,3.3,4.4,.750,.750,1.1,2.2,.500,4.9,3.3,8.2,1.6,1.1,0.0,3.8,8.2,7.6,,stiemgr01
465,Russ Smith,23,2TM,PG,12,0,65,4.4,13.8,.320,1.1,6.1,.182,3.3,7.8,.429,.360,6.6,7.2,.923,0.6,2.8,3.3,4.4,1.7,0.0,6.6,7.2,16.6,,smithru01
465,Russ Smith,23,NOP,PG,6,0,29,2.5,12.4,.200,1.2,7.4,.167,1.2,5.0,.250,.250,0.0,0.0,,0.0,3.7,3.7,2.5,0.0,0.0,8.7,7.4,6.2,,smithru01
465,Russ Smith,23,MEM,PG,6,0,36,6.0,15.0,.400,1.0,5.0,.200,5.0,10.0,.500,.433,12.0,13.0,.923,1.0,2.0,3.0,6.0,3.0,0.0,5.0,7.0,25.0,,smithru01
466,Cameron Bairstow,24,CHI,PF,18,1,64,1.7,7.9,.214,0.0,0.0,,1.7,7.9,.214,.214,2.3,2.8,.800,3.4,1.1,4.5,0.6,1.1,0.6,1.7,4.5,5.6,,bairsca01
467,Lester Hudson,30,LAC,SG,5,0,56,3.9,9.0,.429,1.9,3.9,.500,1.9,5.1,.375,.536,1.9,2.6,.750,0.6,4.5,5.1,3.2,3.9,0.6,1.9,2.6,11.6,,hudsole01
468,Grant Jerrett,21,2TM,PF,8,0,51,4.9,18.4,.269,0.7,10.6,.067,4.2,7.8,.545,.288,0.7,0.7,1.000,1.4,4.9,6.4,2.1,1.4,1.4,2.1,7.8,11.3,,jerregr01
468,Grant Jerrett,21,OKC,PF,5,0,25,4.3,24.5,.176,1.4,18.7,.077,2.9,5.8,.500,.206,0.0,0.0,,1.4,4.3,5.8,1.4,0.0,2.9,2.9,10.1,10.1,,jerregr01
468,Grant Jerrett,21,UTA,PF,3,0,26,5.5,12.5,.444,0.0,2.8,.000,5.5,9.7,.571,.444,1.4,1.4,1.000,1.4,5.5,6.9,2.8,2.8,0.0,1.4,5.5,12.5,,jerregr01
469,Darius Miller,24,NOP,SF,5,1,43,0.8,5.9,.143,0.0,0.8,.000,0.8,5.0,.167,.143,0.0,0.0,,0.0,0.8,0.8,1.7,0.8,0.0,0.8,6.7,1.7,,milleda01
470,Glen Rice Jr.,24,WAS,SG,5,0,43,2.5,12.6,.200,0.8,5.9,.143,1.7,6.7,.250,.233,3.3,5.0,.667,1.7,1.7,3.3,1.7,0.0,0.0,1.7,9.2,9.2,,ricegl02
471,Gal Mekel,26,NOP,PG,4,0,43,2.5,16.7,.150,0.0,2.5,.000,2.5,14.2,.176,.150,0.0,0.0,,0.0,0.8,0.8,10.9,1.7,0.0,1.7,0.8,5.0,,mekelga01
472,Andrei Kirilenko,33,BRK,SF,7,0,36,0.0,5.0,.000,0.0,0.0,,0.0,5.0,.000,.000,3.0,4.0,.750,2.0,6.0,8.0,1.0,1.0,0.0,1.0,1.0,3.0,,kirilan01
473,Jerel McNeal,27,PHO,PG,6,0,36,3.0,11.0,.273,1.0,2.0,.500,2.0,9.0,.222,.318,2.0,2.0,1.000,0.0,3.0,3.0,2.0,3.0,1.0,5.0,5.0,9.0,,mcneaje01
474,David Stockton,23,SAC,PG,3,0,33,2.2,6.5,.333,1.1,2.2,.500,1.1,4.4,.250,.417,3.3,6.5,.500,0.0,2.2,2.2,9.8,2.2,0.0,4.4,1.1,8.7,,stockda01
475,Patrick Christopher,26,UTA,SG,4,1,29,3.7,14.9,.250,0.0,5.0,.000,3.7,9.9,.375,.250,0.0,0.0,,2.5,5.0,7.4,0.0,1.2,0.0,1.2,7.4,7.4,,chrispa01
476,Bruno Caboclo,19,TOR,SF,8,0,23,6.3,18.8,.333,3.1,4.7,.667,3.1,14.1,.222,.417,0.0,0.0,,1.6,1.6,3.1,0.0,0.0,1.6,6.3,4.7,15.7,,cabocbr01
477,Lucas Nogueira,22,TOR,C,6,0,23,3.1,12.5,.250,0.0,0.0,,3.1,12.5,.250,.250,3.1,6.3,.500,3.1,14.1,17.2,1.6,3.1,0.0,3.1,9.4,9.4,,noguelu01
478,Miroslav Raduljica,27,MIN,C,5,0,23,4.7,12.5,.375,0.0,0.0,,4.7,12.5,.375,.375,3.1,3.1,1.000,3.1,4.7,7.8,0.0,1.6,0.0,3.1,12.5,12.5,,radulmi01
479,Andre Dawkins,23,MIA,SG,4,0,22,1.6,9.8,.167,1.6,9.8,.167,0.0,0.0,,.250,0.0,0.0,,0.0,3.3,3.3,1.6,0.0,0.0,1.6,4.9,4.9,,dawkian01
480,Ronny Turiaf,32,MIN,C,2,0,19,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.9,1.9,3.8,0.0,0.0,0.0,0.0,0.0,,turiaro01
481,Toure' Murry,25,2TM,PG,5,0,18,4.0,10.0,.400,0.0,0.0,,4.0,10.0,.400,.400,4.0,4.0,1.000,2.0,0.0,2.0,2.0,2.0,0.0,8.0,4.0,12.0,,murryto01
481,Toure' Murry,25,UTA,PG,1,0,1,0.0,36.0,.000,0.0,0.0,,0.0,36.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,murryto01
481,Toure' Murry,25,WAS,SG,4,0,17,4.2,8.5,.500,0.0,0.0,,4.2,8.5,.500,.500,4.2,4.2,1.000,2.1,0.0,2.1,2.1,2.1,0.0,8.5,4.2,12.7,,murryto01
482,Alex Kirk,23,CLE,C,5,0,14,2.6,10.3,.250,0.0,0.0,,2.6,10.3,.250,.250,5.1,5.1,1.000,2.6,0.0,2.6,2.6,0.0,0.0,0.0,2.6,10.3,,kirkal01
